"id","team_pro_id","first_name","last_name","date_of_birth","nationality","weight_kg","height_m","photo_url"
"46","6","Vincenzo","Albanese","1996-11-12","Italy","68.0","1.80",
"47","6","Alex","Baudin","1996-05-25","France","68.0","1.85",
"48","6","Harrison","Sweeny","1997-09-12","Australia","68.0","1.85",
"49","7","Thibaut","Pinot","1990-05-29","France","60.0","1.80",
"50","7","David","Gaudu","1996-10-10","France","62.0","1.73",
"51","7","Valentin","Madouas","1996-07-12","France","68.0","1.85",
"52","7","Stefan","Küng","1993-11-16","Switzerland","78.0","1.94",
"53","7","Romain","Grégoire","2003-03-24","France","65.0","1.80",
"54","7","Quentin","Pacher","1992-01-06","France","68.0","1.85",
"55","7","Lars","van den Berg","1998-07-07","Netherlands","70.0","1.88",
"56","7","Michael","Storer","1997-02-28","Australia","65.0","1.80",
"57","8","Pello","Bilbao","1990-02-25","Spain","65.0","1.78",
"58","8","Wout","Poels","1987-10-01","Netherlands","70.0","1.85",
"59","8","Matej","Mohorič","1994-10-19","Slovenia","70.0","1.85",
"60","8","Santiago","Buitrago","1999-09-11","Colombia","58.0","1.70",
"61","8","Dylan","Teuns","1992-03-01","Belgium","70.0","1.85",
"62","8","Phil","Bauhaus","1994-07-08","Germany","78.0","1.88",
"63","8","Kamil","Gradek","1990-09-17","Poland","75.0","1.88",
"64","8","Jack","Haig","1993-09-06","Australia","62.0","1.78",
"65","9","Mathieu","van der Poel","1995-01-19","Netherlands","75.0","1.84",
"66","9","Jasper","Philipsen","1998-03-02","Belgium","78.0","1.85",
"67","9","Søren","Kragh Andersen","1994-08-10","Denmark","72.0","1.88",
"68","9","Silvan","Dillier","1990-08-03","Switzerland","72.0","1.88",
"69","9","Jonas","Rickaert","1994-02-07","Belgium","78.0","1.88",
"70","9","Gianni","Vermeersch","1992-11-19","Belgium","75.0","1.88",
"71","9","Ramon","Sinkeldam","1989-02-09","Netherlands","78.0","1.90",
"72","9","Jasper","De Buyst","1993-11-24","Belgium","75.0","1.88",
"73","10","Enric","Mas","1995-01-07","Spain","60.0","1.77",
"74","10","Alejandro","Valverde","1980-04-25","Spain","61.0","1.78",
"75","10","Iván","García Cortina","1995-11-20","Spain","70.0","1.85",
"76","10","Nelson","Oliveira","1989-03-06","Portugal","68.0","1.80",
"77","10","Carlos","Verona","1992-11-04","Spain","62.0","1.78",
"78","10","Imanol","Erviti","1983-11-15","Spain","72.0","1.88",
"79","10","Jorge","Arcas","1992-07-08","Spain","68.0","1.85",
"80","10","Oier","Lazkano","1999-11-07","Spain","70.0","1.85",
"81","11","Peter","Sagan","1990-01-26","Slovakia","78.0","1.84",
"82","11","Giulio","Ciccone","1994-12-20","Italy","58.0","1.75",
"83","11","Bauke","Mollema","1986-11-26","Netherlands","68.0","1.83",
"84","11","Jasper","Stuyven","1992-04-17","Belgium","75.0","1.88",
"85","11","Mads","Pedersen","1995-12-18","Denmark","78.0","1.85",
"86","11","Quinn","Simmons","2001-05-08","United States","65.0","1.80",
"87","11","Toms","Skujiņš","1991-06-15","Latvia","70.0","1.85",
"88","11","Edward","Theuns","1991-04-30","Belgium","75.0","1.88",
"89","12","Michael","Woods","1986-10-12","Canada","68.0","1.83",
"90","12","Chris","Froome","1985-05-20","United Kingdom","69.0","1.86",
"91","12","Jakob","Fuglsang","1985-03-22","Denmark","68.0","1.82",
"92","12","Guillaume","Boivin","1989-05-25","Canada","78.0","1.88",
"93","12","Derek","Gee","1997-08-04","Canada","68.0","1.85",
"94","12","Hugo","Houle","1990-09-27","Canada","70.0","1.85",
"95","12","Krists","Neilands","1994-08-18","Latvia","70.0","1.85",
"96","12","Nick","Schultz","1994-09-13","Australia","68.0","1.83",
"97","13","Simon","Yates","1992-08-07","United Kingdom","58.0","1.72",
"98","13","Michael","Matthews","1990-09-26","Australia","72.0","1.81",
"99","13","Dylan","Groenewegen","1993-06-21","Netherlands","78.0","1.88",
"100","13","Luke","Plapp","2000-12-25","Australia","68.0","1.85",
"101","13","Eddie","Dunbar","1996-09-01","Ireland","62.0","1.78",
"102","13","Lawson","Craddock","1992-02-20","United States","70.0","1.85",
"103","13","Chris","Harper","1994-11-23","Australia","68.0","1.85",
"104","13","Luka","Mezgec","1988-06-27","Slovenia","72.0","1.88",
"105","14","Arnaud","Démare","1991-08-26","France","78.0","1.81",
"106","14","Warren","Barguil","1991-10-28","France","65.0","1.80",
"107","14","Nacer","Bouhanni","1990-07-25","France","72.0","1.78",
"108","14","Bryan","Coquard","1992-04-25","France","68.0","1.70",
"109","14","Amaury","Capiot","1993-06-25","Belgium","75.0","1.88",
"110","14","Donavan","Grinond","1996-09-26","France","70.0","1.85",
"111","14","Laurent","Pichon","1986-05-19","France","72.0","1.85",
"112","14","Alan","Riou","1997-04-02","France","65.0","1.80",
"113","15","Guillaume","Martin","1993-06-09","France","62.0","1.78",
"114","15","Victor","Lafay","1996-01-17","France","65.0","1.80",
"115","15","Axel","Zingle","1998-12-18","France","68.0","1.85",
"116","15","Piet","Allegaert","1995-01-20","Belgium","75.0","1.88",
"117","15","Alexis","Renard","1999-06-01","France","70.0","1.85",
"118","15","Axel","Laurance","2001-04-13","France","70.0","1.85",
"119","15","Anthony","Perez","1991-04-22","France","68.0","1.83",
"120","15","Simon","Geschke","1986-03-23","Germany","68.0","1.85",
"121","16","Benoît","Cosnefroy","1995-10-17","France","65.0","1.78",
"122","16","Oliver","Naesen","1990-09-16","Belgium","75.0","1.88",
"123","16","Greg","Van Avermaet","1985-05-17","Belgium","74.0","1.81",
"124","16","Felix","Gall","1998-02-27","Austria","62.0","1.78",
"125","16","Dorian","Godon","1996-05-25","France","70.0","1.85",
"126","16","Paul","Lapeira","2000-05-28","France","68.0","1.85",
"127","16","Valentin","Paret Peintre","1999-01-14","France","65.0","1.80",
"128","16","Nans","Peters","1994-03-12","France","68.0","1.85",
"129","17","Romain","Bardet","1990-11-09","France","62.0","1.78",
"130","17","John","Degenkolb","1989-01-07","Germany","78.0","1.81",
"131","17","Nils","Eekhoff","1998-01-23","Netherlands","75.0","1.88",
"132","17","Romain","Combaud","1991-04-01","France","70.0","1.85",
"133","17","Fabio","Jakobsen","1996-08-31","Netherlands","78.0","1.88",
"134","17","Julien","Simon","1985-10-04","France","68.0","1.83",
"135","17","Martijn","Tusveld","1993-09-09","Netherlands","70.0","1.85",
"136","17","Kevin","Vermeulen","1996-06-15","Netherlands","75.0","1.88",
"137","18","Alexey","Lutsenko","1992-09-07","Kazakhstan","70.0","1.85",
"138","18","Mark","Cavendish","1985-05-21","United Kingdom","70.0","1.75",
"139","18","Cees","Bol","1995-07-25","Netherlands","78.0","1.90",
"140","18","Gianni","Moscon","1994-04-20","Italy","75.0","1.88",
"141","18","Harold","Tejada","1997-04-27","Colombia","62.0","1.78",
"142","18","Simone","Velasco","1995-12-02","Italy","68.0","1.85",
"143","18","Christian","Scaroni","1997-10-16","Italy","68.0","1.85",
"144","18","Igor","Chzhan","1996-03-28","Kazakhstan","70.0","1.85",
"145","19","Alexander","Kristoff","1987-07-05","Norway","78.0","1.81",
"146","19","Tobias","Halland Johannessen","1999-08-07","Norway","68.0","1.85",
"147","19","Jonas","Abrahamsen","1995-09-20","Norway","75.0","1.88",
"148","19","Anthon","Charmig","1998-03-25","Denmark","68.0","1.85",
"149","19","Rasmus","Tiller","1996-07-28","Norway","70.0","1.85",
"150","19","Søren","Wærenskjold","2000-03-12","Norway","75.0","1.88",
"151","19","Magnus","Cort Nielsen","1993-01-16","Denmark","72.0","1.85",
"152","19","Erik","Nordsæter Resell","1996-09-15","Norway","70.0","1.85",
"153","20","Biniam","Girmay","2000-04-02","Belgium","70.0","1.85",
"154","20","Louis","Meintjes","1992-02-21","South Africa","58.0","1.70",
"155","20","Mike","Teunissen","1992-08-25","Netherlands","75.0","1.88",
"156","20","Louis","Barré","2000-07-06","France","70.0","1.85",
"157","20","Vito","Braet","1995-10-18","Belgium","70.0","1.85",
"158","20","Hugo","Page","2001-07-24","France","65.0","1.80",
"159","20","Laurenz","Rex","1999-12-15","Belgium","70.0","1.85",
"160","20","Jonas","Rutsch","1998-01-09","Germany","75.0","1.88",
"161","20","Georg","Zimmermann","1997-10-11","Germany","68.0","1.85",
"162","20","Roel","Van Sintmaartensdijk","2000-03-08","Netherlands","75.0","1.88",
"163","8","Fred","Wright","1999-06-13","United Kingdom","70.0","1.85",
"164","8","Robert","Stannard","1998-09-16","Australia","70.0","1.85",
"165","15","Benjamin","Thomas","1995-09-12","France","70.0","1.88",
"166","15","Jesús","Herrada","1990-07-26","Spain","68.0","1.80",
"167","3","Ilan","Van Wilder","2000-05-14","Belgium","65.0","1.80",
"168","3","Valentin","Paret Peintre","1999-01-14","France","65.0","1.80",
"169","2","Matteo","Jorgenson","2000-07-01","United States","68.0","1.85",
"170","2","Simon","Yates","1992-08-07","United Kingdom","58.0","1.72",
"171","6","Marijn","Van den Berg","1999-07-19","Netherlands","75.0","1.88",
"172","6","Michael","Valgren","1992-02-07","Denmark","70.0","1.85",
"173","7","Romain","Grégoire","2003-03-24","France","65.0","1.80",
"174","7","Olivier","Le Gac","1993-08-27","France","70.0","1.85",
"175","7","Miles","Scotson","1994-01-18","France","70.0","1.88",
"176","11","Jasper","Stuyven","1992-04-17","Belgium","75.0","1.88",
"177","11","Alex","Kirsch","1992-06-12","Luxembourg","70.0","1.85",
"178","11","Juan","Pedro López","1997-07-31","Spain","58.0","1.70",
"179","11","Daan","Hoole","1999-02-22","Netherlands","70.0","1.85",
"180","11","Antwan","Tolhoek","1994-04-29","Netherlands","65.0","1.80",
"181","11","Sam","Oomen","1995-08-15","Netherlands","65.0","1.80",
"182","11","Bauke","Mollema","1986-11-26","Netherlands","68.0","1.83",
"183","3","Maximilian","Schachmann","1994-01-09","Germany","70.0","1.85",
"184","3","Rémi","Cavagna","1995-06-10","France","75.0","1.93",
