id,team_pro_id,first_name,last_name,date_of_birth,nationality,weight_kg,height_m,photo_url,first_name_normalized,last_name_normalized
98,16,Eddie,Dunbar,"""1996-08-31T22:00:00.000Z""",Ireland,62.0,1.78,,eddie,dunbar
99,16,Luke,Durbridge,,,,,,luke,durbridge
100,16,Dylan,Groenewegen,"""1993-06-20T22:00:00.000Z""",Netherlands,78.0,1.88,,dylan,groenewegen
101,16,Luka,Mezgec,"""1988-06-26T22:00:00.000Z""",Slovenia,72.0,1.88,,luka,mezgec
102,16,Luke,Plapp,"""2000-12-24T23:00:00.000Z""",Australia,68.0,1.85,,luke,plapp
103,16,Elmar,Reinders,,,,,,elmar,reinders
104,16,Mauro,Schmid,,,,,,mauro,schmid
105,2,Kevin,Vauquelin,,,,,,kevin,vauquelin
106,2,Amaury,Capiot,"""1993-06-24T22:00:00.000Z""",Belgium,75.0,1.88,,amaury,capiot
107,2,Ewen,Costiou,,,,,,ewen,costiou
108,2,Arnaud,Demare,,,,,,arnaud,demare
109,2,Raul,Garcia Pierna,,,,,,raul,garcia pierna
110,2,Mathis,Le Berre,,,,,,mathis,le berre
111,2,Cristian,Rodriguez,,,,,,cristian,rodriguez
112,2,Clement,Venturini,,,,,,clement,venturini
113,14,Enric Mondiale Team,Mas,,,,,,enric mondiale team,mas
114,14,Will,Barta,,,,,,will,barta
115,14,Pablo,Castrillo,,,,,,pablo,castrillo
116,14,Nelson,Oliveira,"""1989-03-05T23:00:00.000Z""",Portugal,68.0,1.80,,nelson,oliveira
117,14,Ivan,Garcia Cortina,,,,,,ivan,garcia cortina
118,14,Gregor,Muhlberger,,,,,,gregor,muhlberger
119,14,Ivan,Romeo,,,,,,ivan,romeo
120,14,Einer,Rubio,,,,,,einer,rubio
121,6,Felix,Gall,"""1998-02-26T23:00:00.000Z""",Austria,62.0,1.78,,felix,gall
122,6,Bruno,Armirail,,,,,,bruno,armirail
123,6,Clement,Berthet,,,,,,clement,berthet
124,6,Stefan,Bissegger,,,,,,stefan,bissegger
125,6,Oliver,Naesen,"""1990-09-15T22:00:00.000Z""",Belgium,75.0,1.88,,oliver,naesen
126,6,Aurelien,Paret-Peintre,,,,,,aurelien,paret-peintre
127,6,Callum,Scotson,,,,,,callum,scotson
128,6,Bastien,Tronchon,,,,,,bastien,tronchon
129,5,Emanuel,Buchmann,"""1992-11-17T23:00:00.000Z""",Germany,60.0,1.75,,emanuel,buchmann
130,5,Alex,Aranburu,,,,,,alex,aranburu
131,5,Bryan,Coquard,"""1992-04-24T22:00:00.000Z""",France,68.0,1.70,,bryan,coquard
132,5,Ion,Izagirre,,,,,,ion,izagirre
133,5,Alexis,Renard,"""1999-05-31T22:00:00.000Z""",France,70.0,1.85,,alexis,renard
134,5,Dylan,Teuns,"""1992-02-29T23:00:00.000Z""",Belgium,70.0,1.85,,dylan,teuns
135,5,Benjamin,Thomas,"""1995-09-11T22:00:00.000Z""",France,70.0,1.88,,benjamin,thomas
136,5,Damien,Touze,,,,,,damien,touze
137,23,Harold,Tejada,"""1997-04-26T22:00:00.000Z""",Colombia,62.0,1.78,,harold,tejada
138,23,Davide,Ballerini,,,,,,davide,ballerini
139,23,Cees,Bol,"""1995-07-24T22:00:00.000Z""",Netherlands,78.0,1.90,,cees,bol
140,23,Clement,Champoussin,,,,,,clement,champoussin
141,23,Yevgeniy,Fedorov,,,,,,yevgeniy,fedorov
142,23,Sergio,Higuita,,,,,,sergio,higuita
143,23,Mike,Teunissen,"""1992-08-24T22:00:00.000Z""",Netherlands,75.0,1.88,,mike,teunissen
144,23,Simone,Velasco,"""1995-12-01T23:00:00.000Z""",Italy,68.0,1.85,,simone,velasco
145,19,Steff,Cras,,,,,,steff,cras
146,19,Mathieu,Burgaudeau,,,,,,mathieu,burgaudeau
147,19,Alexandre,Delettre,,,,,,alexandre,delettre
148,19,Thomas,Gachignard,,,,,,thomas,gachignard
149,19,Emilien,Jeanniere,,,,,,emilien,jeanniere
150,19,Jordan,Jegat,,,,,,jordan,jegat
151,19,Anthony,Turgis,,,,,,anthony,turgis
152,19,Matteo,Vercher,,,,,,matteo,vercher
153,17,Oscar,Onley,,,,,,oscar,onley
154,17,Warren,Barguil,"""1991-10-27T23:00:00.000Z""",France,65.0,1.80,,warren,barguil
155,17,Pavel,Bittner,,,,,,pavel,bittner
156,17,Sean,Flynn,,,,,,sean,flynn
157,17,Tobias Lund,Andresen,,,,,,tobias lund,andresen
158,17,Niklas,Markl,,,,,,niklas,markl
159,17,Tim,Naberman,,,,,,tim,naberman
160,17,Frank,Van Den Broek,,,,,,frank,van den broek
161,11,Michael,Woods,"""1986-10-11T23:00:00.000Z""",Canada,68.0,1.83,,michael,woods
162,11,Pascal,Ackermann,,,,,,pascal,ackermann
163,11,Joseph,Blackmore,,,,,,joseph,blackmore
164,11,Guillaume,Boivin,"""1989-05-24T22:00:00.000Z""",Canada,78.0,1.88,,guillaume,boivin
165,11,Matis,Louvel,,,,,,matis,louvel
166,11,Alexey,Lutsenko,"""1992-09-06T22:00:00.000Z""",Kazakhstan,70.0,1.85,,alexey,lutsenko
167,11,Krists,Neilands,"""1994-08-17T22:00:00.000Z""",Latvia,70.0,1.85,,krists,neilands
168,11,Jake,Stewart,,,,,,jake,stewart
169,13,Arnaud,De Lie,,,,,,arnaud,de lie
170,13,Jenno,Berckmoes,,,,,,jenno,berckmoes
171,13,Jasper,De Buyst,"""1993-11-23T23:00:00.000Z""",Belgium,75.0,1.88,,jasper,de buyst
172,13,Jarrad,Drizners,,,,,,jarrad,drizners
173,13,Sebastien,Grignard,,,,,,sebastien,grignard
174,13,Eduardo,Sepulveda,,,,,,eduardo,sepulveda
175,13,Lennert,Van Eetvelt,,,,,,lennert,van eetvelt
176,13,Brent,Van Moer,,,,,,brent,van moer
177,22,Tobias Halland,Johannessen,"""1999-08-06T22:00:00.000Z""",Norway,68.0,1.85,,tobias halland,johannessen
178,22,Jonas,Abrahamsen,"""1995-09-19T22:00:00.000Z""",Norway,75.0,1.88,,jonas,abrahamsen
179,22,Magnus,Cort,"""1993-01-15T23:00:00.000Z""",Denmark,72.0,1.85,,magnus,cort
180,22,Stian,Fredheim,,,,,,stian,fredheim
181,22,Markus,Hoelgaard,,,,,,markus,hoelgaard
182,22,Anders Halland,Johannessen,,,,,,anders halland,johannessen
183,22,Andreas,Leknessund,,,,,,andreas,leknessund
184,22,Søren,Wærenskjold,"""2000-03-11T23:00:00.000Z""",Norway,92.0,1.95,,soren,waerenskjold
