"id","team_pro_id","first_name","last_name","date_of_birth","nationality","weight_kg","height_m","photo_url","first_name_normalized","last_name_normalized","start_number"
"132","5","Ion","Izagirre",,,,,,"ion","izagirre","164"
"133","5","Alexis","Renard","1999-06-01","France","70.0","1.85",,"alexis","renard","165"
"134","5","Dylan","Teuns","1992-03-01","Belgium","70.0","1.85",,"dylan","teuns","166"
"135","5","Benjamin","Thomas","1995-09-12","France","70.0","1.88",,"benjamin","thomas","167"
"136","5","Damien","Touze",,,,,,"damien","touze","168"
"137","23","Harold","Tejada","1997-04-27","Colombia","62.0","1.78",,"harold","tejada","171"
"138","23","Davide","Ballerini",,,,,,"davide","ballerini","172"
"139","23","Cees","Bol","1995-07-25","Netherlands","78.0","1.90",,"cees","bol","173"
"140","23","Clement","Champoussin",,,,,,"clement","champoussin","174"
"141","23","Yevgeniy","Fedorov",,,,,,"yevgeniy","fedorov","175"
"142","23","Sergio","Higuita",,,,,,"sergio","higuita","176"
"143","23","Mike","Teunissen","1992-08-25","Netherlands","75.0","1.88",,"mike","teunissen","177"
"144","23","Simone","Velasco","1995-12-02","Italy","68.0","1.85",,"simone","velasco","178"
"145","19","Steff","Cras",,,,,,"steff","cras","181"
"146","19","Mathieu","Burgaudeau",,,,,,"mathieu","burgaudeau","182"
"147","19","Alexandre","Delettre",,,,,,"alexandre","delettre","183"
"148","19","Thomas","Gachignard",,,,,,"thomas","gachignard","184"
"149","19","Emilien","Jeanniere",,,,,,"emilien","jeanniere","185"
"150","19","Jordan","Jegat",,,,,,"jordan","jegat","186"
"151","19","Anthony","Turgis",,,,,,"anthony","turgis","187"
"152","19","Matteo","Vercher",,,,,,"matteo","vercher","188"
"153","17","Oscar","Onley",,,,,,"oscar","onley","191"
"154","17","Warren","Barguil","1991-10-28","France","65.0","1.80",,"warren","barguil","192"
"155","17","Pavel","Bittner",,,,,,"pavel","bittner","193"
"156","17","Sean","Flynn",,,,,,"sean","flynn","194"
"157","17","Tobias Lund","Andresen",,,,,,"tobias lund","andresen","195"
"158","17","Niklas","Markl",,,,,,"niklas","markl","196"
"159","17","Tim","Naberman",,,,,,"tim","naberman","197"
"160","17","Frank","Van Den Broek",,,,,,"frank","van den broek","198"
"161","11","Michael","Woods","1986-10-12","Canada","68.0","1.83",,"michael","woods","201"
"162","11","Pascal","Ackermann",,,,,,"pascal","ackermann","202"
"163","11","Joseph","Blackmore",,,,,,"joseph","blackmore","203"
"164","11","Guillaume","Boivin","1989-05-25","Canada","78.0","1.88",,"guillaume","boivin","204"
"165","11","Matis","Louvel",,,,,,"matis","louvel","205"
"166","11","Alexey","Lutsenko","1992-09-07","Kazakhstan","70.0","1.85",,"alexey","lutsenko","206"
"167","11","Krists","Neilands","1994-08-18","Latvia","70.0","1.85",,"krists","neilands","207"
"168","11","Jake","Stewart",,,,,,"jake","stewart","208"
"169","13","Arnaud","De Lie",,,,,,"arnaud","de lie","211"
"170","13","Jenno","Berckmoes",,,,,,"jenno","berckmoes","212"
"171","13","Jasper","De Buyst","1993-11-24","Belgium","75.0","1.88",,"jasper","de buyst","213"
"172","13","Jarrad","Drizners",,,,,,"jarrad","drizners","214"
"173","13","Sebastien","Grignard",,,,,,"sebastien","grignard","215"
"174","13","Eduardo","Sepulveda",,,,,,"eduardo","sepulveda","216"
"175","13","Lennert","Van Eetvelt",,,,,,"lennert","van eetvelt","217"
"176","13","Brent","Van Moer",,,,,,"brent","van moer","218"
"177","22","Tobias Halland","Johannessen","1999-08-07","Norway","68.0","1.85",,"tobias halland","johannessen","221"
"178","22","Jonas","Abrahamsen","1995-09-20","Norway","75.0","1.88",,"jonas","abrahamsen","222"
"179","22","Magnus","Cort","1993-01-16","Denmark","72.0","1.85",,"magnus","cort","223"
"180","22","Stian","Fredheim",,,,,,"stian","fredheim","224"
"181","22","Markus","Hoelgaard",,,,,,"markus","hoelgaard","225"
"182","22","Anders Halland","Johannessen",,,,,,"anders halland","johannessen","226"
"183","22","Andreas","Leknessund",,,,,,"andreas","leknessund","227"
"184","22","Soren","Waerenskjold",,,,,,"soren","waerenskjold","228"
